Generation,Fitness,TrainingTime
0,0.9604,17.8346
0,0.9767,21.1958
0,0.1135,38.5291
0,0.9366,150.8591
0,0.8964,304.0288
0,0.9389,18.8773
0,0.9470,9.1607
0,0.8686,128.7571
0,0.3785,187.7219
0,0.9690,9.0177
1,0.9767,9.0190
1,0.9347,9.4219
1,0.9679,142.3251
1,0.9678,155.2389
1,0.7437,277.9870
1,0.2106,33.7567
1,0.9609,323.6162
1,0.8960,173.5407
1,0.9484,22.7911
1,0.9297,18.4039
2,0.9767,18.4052
2,0.9645,142.5667
2,0.7954,18.3344
2,0.9380,170.9989
2,0.1135,140.7057
2,0.9380,22.7098
2,0.9373,22.8023
2,0.9494,163.1206
2,0.9353,149.4398
2,0.9694,10.4449
3,0.9767,10.4461
3,0.9494,12.1462
3,0.9545,138.8001
3,0.8114,18.0209
3,0.9535,163.2473
3,0.3485,175.8175
3,0.0958,181.1282
3,0.9363,22.3139
3,0.9411,182.8143
3,0.4230,200.3987
4,0.9767,200.3999
4,0.9621,24.1026
4,0.9528,12.4678
4,0.9578,158.8575
4,0.9599,22.0683
4,0.2165,201.9117
4,0.9052,179.7749
4,0.9615,19.7266
4,0.9475,12.2723
4,0.9500,12.4050
5,0.9767,12.4061
5,0.9578,31.6010
5,0.9550,50.2089
5,0.9541,71.3891
5,0.9549,90.1165
5,0.9592,108.8278
5,0.9576,127.5600
5,0.9080,290.9028
5,0.9575,301.2751
5,0.9363,325.0528
